User,UserID,Query,TweetID,Created_At,Retweet_Count,Favorite_Count,IsRT,Tweet,filtered_tweet,Datetime_Created_At
9spaintorres,1779173532,Pittsburgh Shooting,1056243299734958080,2018-10-27 17:56:41,3834,0,True,RT @shaunking: Wow. Trump literally just blamed the Pittsburgh shooting on the members of the synagogue for not having more guns. THE SHOOTER SHOT ARMED POLICE OFFICERS. He had an AR-15 assault rifle. It is a WEAPON OF WAR.,"['rt', '@', 'shaunking', 'wow', 'trump', 'literally', 'blamed', 'pittsburgh', 'shooting', 'members', 'synagogue', 'guns', 'shooter', 'shot', 'armed', 'police', 'officers', 'ar-15', 'assault', 'rifle', 'weapon', 'war']",2018-10-27 17:56:41
steve_amp,1040722169574187010,Pittsburgh Shooting,1056243298510274562,2018-10-27 17:56:41,11,0,True,RT @NXWReborn: Multiple deaths in a shooting at the Tree of life synagogue in Pittsburgh.People died because they were Jews.Menwhile Stephen Miller Jared Kushner and Zina Bash keep working for the administration that made all this possible.,"['rt', '@', 'nxwreborn', 'multiple', 'deaths', 'shooting', 'tree', 'life', 'synagogue', 'pittsburgh.people', 'died', 'jews.menwhile', 'stephen', 'miller', 'jared', 'kushner', 'zina', 'bash', 'keep', 'working', 'administration', 'made', 'possible']",2018-10-27 17:56:41
fictionfree,119105163,Pittsburgh Shooting,1056243297541410816,2018-10-27 17:56:40,42,0,True,RT @shannonrwatts: Four police officers were shot and the shooter is still alive but Donald Trump wants us to believe more guns in the hands of civilians attending a bris would have stopped the shooting at a Pittsburgh synagogue.It is more important than ever to vote. https://t.co/se5jyPwC3n,"['rt', '@', 'shannonrwatts', 'four', 'police', 'officers', 'shot', 'shooter', 'still', 'alive', 'donald', 'trump', 'wants', 'believe', 'guns', 'hands', 'civilians', 'attending', 'bris', 'would', 'stopped', 'shooting', 'pittsburgh', 'synagogue.it', 'important', 'ever', 'vote', 'https', '//t.co/se5jypwc3n']",2018-10-27 17:56:40
lkmangan80,49229575,Pittsburgh Shooting,1056243297021317120,2018-10-27 17:56:40,21,0,True,RT @misstessowen: Pittsburgh Director of Public Safety Wendell Hissrich just said that the synagogue shooting was a federal hate crime and was being investigated as such. https://t.co/enMpFA2JLh,"['rt', '@', 'misstessowen', 'pittsburgh', 'director', 'public', 'safety', 'wendell', 'hissrich', 'said', 'synagogue', 'shooting', 'federal', 'hate', 'crime', 'investigated', 'https', '//t.co/enmpfa2jlh']",2018-10-27 17:56:40
LaVerne90748971,752219182373015552,Pittsburgh Shooting,1056243296966795265,2018-10-27 17:56:40,38,0,True,RT @ajplus: Pittsburgh officials confirmed multiple fatalities from a synagogue shooting and at least 6 injuries including 4 police. They are investigating the shooting as a hate crime. https://t.co/yRYqwuCdYF,"['rt', '@', 'ajplus', 'pittsburgh', 'officials', 'confirmed', 'multiple', 'fatalities', 'synagogue', 'shooting', 'least', '6', 'injuries', 'including', '4', 'police', 'investigating', 'shooting', 'hate', 'crime', 'https', '//t.co/yryqwucdyf']",2018-10-27 17:56:40
coopherhouse1,2178474842,Pittsburgh Shooting,1056243296886902785,2018-10-27 17:56:40,507,0,True,RT @howardfineman: Im not sure that theres been a more deadly attack on a synagogue in America. Or this kind of mass shooting in #Pittsburgh. And it happened in #SquirrelHill one of the safest quietest most pleasant city communities in the nation. No one is safe no one is immune. Anywhere.,"['rt', '@', 'howardfineman', 'im', 'sure', 'theres', 'deadly', 'attack', 'synagogue', 'america', 'kind', 'mass', 'shooting', '#', 'pittsburgh', 'happened', '#', 'squirrelhill', 'one', 'safest', 'quietest', 'pleasant', 'city', 'communities', 'nation', 'one', 'safe', 'one', 'immune', 'anywhere']",2018-10-27 17:56:40
TheLondonTree,526497760,Pittsburgh Shooting,1056243296849289217,2018-10-27 17:56:40,20,0,True,RT @ajplus: BREAKING: Authorities identified the #Pittsburgh synagogue shooting suspect as Robert Bowers.,"['rt', '@', 'ajplus', 'breaking', 'authorities', 'identified', '#', 'pittsburgh', 'synagogue', 'shooting', 'suspect', 'robert', 'bowers']",2018-10-27 17:56:40
Free2bEqual,536042516,Pittsburgh Shooting,1056243296572297216,2018-10-27 17:56:40,2,0,True,RT @RepDeSaulnier: Our hearts are broken for the victims and the families of Tree of Life Synagogue. The only way to stop these senseless acts of violence is for Congress to step up to #endgunviolence in America.   https://t.co/7WIgueSo5G,"['rt', '@', 'repdesaulnier', 'hearts', 'broken', 'victims', 'families', 'tree', 'life', 'synagogue', 'way', 'stop', 'senseless', 'acts', 'violence', 'congress', 'step', '#', 'endgunviolence', 'america', 'https', '//t.co/7wigueso5g']",2018-10-27 17:56:40
PLechevallier,11580452,Pittsburgh Shooting,1056243296438284288,2018-10-27 17:56:40,0,0,False,Trump lAmerique de la haine ? Pittsburgh synagogue shooting leaves multiple people dead and wounded https://t.co/V6hSB3YaWw,"['trump', 'lamerique', 'de', 'la', 'haine', 'pittsburgh', 'synagogue', 'shooting', 'leaves', 'multiple', 'people', 'dead', 'wounded', 'https', '//t.co/v6hsb3yaww']",2018-10-27 17:56:40
AmyKleiner1,1048389440916180992,Pittsburgh Shooting,1056243296073265153,2018-10-27 17:56:40,42,0,True,RT @shannonrwatts: Four police officers were shot and the shooter is still alive but Donald Trump wants us to believe more guns in the hands of civilians attending a bris would have stopped the shooting at a Pittsburgh synagogue.It is more important than ever to vote. https://t.co/se5jyPwC3n,"['rt', '@', 'shannonrwatts', 'four', 'police', 'officers', 'shot', 'shooter', 'still', 'alive', 'donald', 'trump', 'wants', 'believe', 'guns', 'hands', 'civilians', 'attending', 'bris', 'would', 'stopped', 'shooting', 'pittsburgh', 'synagogue.it', 'important', 'ever', 'vote', 'https', '//t.co/se5jypwc3n']",2018-10-27 17:56:40
emilyjodell,1566929143,Pittsburgh Shooting,1056243295964315649,2018-10-27 17:56:40,399,0,True,RT @JDiamond1: This has little do do with it Trump says when asked about gun laws in wake of Pittsburgh shooting.Instead he puts the onus on the synagogue: If they had some kind of a protection inside the temple then it could have maybe been a very different situation. They didnt.,"['rt', '@', 'jdiamond1', 'little', 'trump', 'says', 'asked', 'gun', 'laws', 'wake', 'pittsburgh', 'shooting.instead', 'puts', 'onus', 'synagogue', 'kind', 'protection', 'inside', 'temple', 'could', 'maybe', 'different', 'situation', 'didnt']",2018-10-27 17:56:40
